altitude,site,plot,mountain,label,species,individual,eye,head,leg,scape
1786,PD6,C,main,PD6CFormica_cunicularia1Eye,Formica_cunicularia,1,0.32,1.237,1.583,1.446
1786,PD6,C,main,PD6CFormica_cunicularia2Eye,Formica_cunicularia,2,0.287,1.057,1.441,1.157
1786,PD6,C,main,PD6CLasius_piliferus1Eye,Lasius_piliferus,1,0.149,0.828,0.695,0.781
1786,PD6,C,main,PD6CLasius_piliferus2Eye,Lasius_piliferus,2,0.141,0.711,0.714,0.753
1786,PD6,C,main,PD6CLasius_piliferus3Eye,Lasius_piliferus,3,0.124,0.71,0.728,0.670
1786,PD6,C,main,PD6CMyrmica_aloba1Eye,Myrmica_aloba,1,0.177,1.077,0.815,0.747
1786,PD6,C,main,PD6CMyrmica_aloba2Eye,Myrmica_aloba,2,0.145,0.936,0.73,0.742
1786,PD6,C,main,PD6CMyrmica_aloba3Eye,Myrmica_aloba,3,0.152,1.065,0.741,0.889
1786,PD6,C,main,PD6CTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.107,0.685,0.502,0.482
1786,PD6,C,main,PD6CTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.086,0.629,0.416,0.448
1786,PD6,C,main,PD6CTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.097,0.699,0.514,0.516
2352,PD9,A,main,PD9AFormica_fusca1Eye,Formica_fusca,1,0.302,1.463,1.767,1.536
2352,PD9,A,main,PD9AFormica_fusca2Eye,Formica_fusca,2,0.363,1.414,1.887,1.622
2352,PD9,A,main,PD9AFormica_fusca3Eye,Formica_fusca,3,0.312,1.362,1.955,1.495
2352,PD9,A,main,PD9ATetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.077,0.647,0.49,0.417
2352,PD9,A,main,PD9ATetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.085,0.694,0.501,0.483
2352,PD9,A,main,PD9ATetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.082,0.709,0.419,0.512
2352,PD9,B,main,PD9BFormica_fusca1Eye,Formica_fusca,1,0.312,1.185,1.513,1.423
2352,PD9,B,main,PD9BFormica_fusca2Eye,Formica_fusca,2,0.35,1.443,1.866,1.610
2352,PD9,B,main,PD9BFormica_fusca3Eye,Formica_fusca,3,0.268,1.161,1.49,1.153
2352,PD9,B,main,PD9BLasius_flavus1Eye,Lasius_flavus,1,0.058,0.707,0.591,0.614
2352,PD9,B,main,PD9BMyrmica_xavieri1Eye,Myrmica_xavieri,1,0.179,0.947,0.812,0.911
2352,PD9,B,main,PD9BMyrmica_xavieri2Eye,Myrmica_xavieri,2,0.171,0.97,0.757,0.784
2352,PD9,B,main,PD9BMyrmica_xavieri3Eye,Myrmica_xavieri,3,0.179,0.961,0.743,0.841
2352,PD9,B,main,PD9BTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.088,0.562,0.435,0.426
2352,PD9,B,main,PD9BTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.089,0.638,0.43,0.499
2352,PD9,B,main,PD9BTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.108,0.673,0.474,0.498
2352,PD9,C,main,PD9CFormica_fusca1Eye,Formica_fusca,1,0.318,1.257,1.76,1.485
2352,PD9,C,main,PD9CFormica_fusca2Eye,Formica_fusca,2,0.319,1.256,1.499,1.204
2352,PD9,C,main,PD9CFormica_fusca3Eye,Formica_fusca,3,0.293,1.079,1.439,1.304
2352,PD9,C,main,PD9CLasius_flavus1Eye,Lasius_flavus,1,0.079,0.678,0.688,0.621
2352,PD9,C,main,PD9CLasius_flavus2Eye,Lasius_flavus,2,0.077,0.644,0.541,0.591
2352,PD9,C,main,PD9CLasius_flavus3Eye,Lasius_flavus,3,0.043,0.6,0.466,0.586
2352,PD9,C,main,PD9CStrongylognathus_testaceus1Eye,Strongylognathus_testaceus,1,0.16,0.786,0.487,0.338
2352,PD9,C,main,PD9CTemnothorax_ibericus1Eye,Temnothorax_ibericus,1,0.079,0.475,0.398,0.391
2352,PD9,C,main,PD9CTemnothorax_ibericus2Eye,Temnothorax_ibericus,2,0.115,0.581,0.471,0.419
2352,PD9,C,main,PD9CTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.089,0.545,0.415,0.423
2352,PD9,C,main,PD9CTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.08,0.597,0.421,0.427
2352,PD9,C,main,PD9CTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.075,0.682,0.475,0.493
680,PE1,A,east,PE1AAphaenogaster_senilis1Eye,Aphaenogaster_senilis,1,0.173,1.187,1.746,0.872
680,PE1,A,east,PE1AAphaenogaster_senilis2Eye,Aphaenogaster_senilis,2,0.209,1.188,1.98,1.825
680,PE1,A,east,PE1AAphaenogaster_senilis3Eye,Aphaenogaster_senilis,3,0.19,1.24,1.936,1.579
680,PE1,A,east,PE1ACamponotus_foreli1Eye,Camponotus_foreli,1,0.291,1.247,1.845,1.537
680,PE1,A,east,PE1ACamponotus_foreli2Eye,Camponotus_foreli,2,0.265,0.995,1.608,1.563
680,PE1,A,east,PE1ACamponotus_foreli3Eye,Camponotus_foreli,3,0.225,1.088,1.639,1.489
680,PE1,A,east,PE1ACataglyphis_iberica1Eye,Cataglyphis_iberica,1,0.317,1.341,2.126,1.640
680,PE1,A,east,PE1ACataglyphis_iberica2Eye,Cataglyphis_iberica,2,0.349,1.42,2.256,1.647
680,PE1,A,east,PE1ACataglyphis_iberica3Eye,Cataglyphis_iberica,3,0.366,1.453,2.161,1.716
680,PE1,A,east,PE1ACrematogaster_auberti1Eye,Crematogaster_auberti,1,0.165,1.027,0.733,0.876
680,PE1,A,east,PE1ACrematogaster_auberti2Eye,Crematogaster_auberti,2,0.19,1.118,0.827,0.857
680,PE1,A,east,PE1ACrematogaster_auberti3Eye,Crematogaster_auberti,3,0.178,1.16,0.796,0.860
680,PE1,A,east,PE1AMessor_barbarus1Eye,Messor_barbarus,1,0.247,1.579,1.548,1.256
680,PE1,A,east,PE1AMessor_barbarus2Eye,Messor_barbarus,2,0.189,1.238,1.311,1.195
680,PE1,A,east,PE1AMessor_barbarus3Eye,Messor_barbarus,3,0.232,1.82,1.661,1.528
680,PE1,A,east,PE1AMessor_hispanicus1Eye,Messor_hispanicus,1,0.188,1.235,1.297,0.886
680,PE1,A,east,PE1AMessor_hispanicus2Eye,Messor_hispanicus,2,0.205,1.298,1.355,1.053
680,PE1,A,east,PE1AMessor_hispanicus3Eye,Messor_hispanicus,3,0.231,1.348,1.255,1.097
680,PE1,A,east,PE1AProformica_nasuta1Eye,Proformica_nasuta,1,0.277,0.982,1.169,0.738
680,PE1,A,east,PE1AProformica_nasuta2Eye,Proformica_nasuta,2,0.173,0.607,0.825,0.764
680,PE1,A,east,PE1AProformica_nasuta3Eye,Proformica_nasuta,3,0.182,0.624,0.92,0.737
680,PE1,A,east,PE1ATetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.107,0.623,0.392,0.496
680,PE1,A,east,PE1ATetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.095,0.697,0.483,0.546
680,PE1,A,east,PE1ATetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.101,0.647,0.421,0.460
680,PE1,B,east,PE1BAphaenogaster_senilis1Eye,Aphaenogaster_senilis,1,0.147,1.083,1.991,1.654
680,PE1,B,east,PE1BAphaenogaster_senilis2Eye,Aphaenogaster_senilis,2,0.216,1.248,1.935,1.724
680,PE1,B,east,PE1BAphaenogaster_senilis3Eye,Aphaenogaster_senilis,3,0.219,1.208,1.862,1.588
680,PE1,B,east,PE1BCamponotus_aethiops1Eye,Camponotus_aethiops,1,0.264,1.196,2.091,1.741
680,PE1,B,east,PE1BCamponotus_foreli1Eye,Camponotus_foreli,1,0.268,1.06,1.83,1.577
680,PE1,B,east,PE1BCamponotus_foreli2Eye,Camponotus_foreli,2,0.24,0.942,1.456,1.489
680,PE1,B,east,PE1BCamponotus_foreli3Eye,Camponotus_foreli,3,0.324,1.135,1.834,1.692
680,PE1,B,east,PE1BCataglyphis_iberica1Eye,Cataglyphis_iberica,1,0.338,1.468,2.261,1.540
680,PE1,B,east,PE1BCataglyphis_iberica2Eye,Cataglyphis_iberica,2,0.332,1.341,2.118,1.498
680,PE1,B,east,PE1BCataglyphis_iberica3Eye,Cataglyphis_iberica,3,0.349,1.348,2.14,1.654
680,PE1,B,east,PE1BCrematogaster_auberti1Eye,Crematogaster_auberti,1,0.208,0.934,0.716,0.632
680,PE1,B,east,PE1BCrematogaster_auberti2Eye,Crematogaster_auberti,2,0.209,0.978,0.743,0.775
680,PE1,B,east,PE1BCrematogaster_auberti3Eye,Crematogaster_auberti,3,0.177,0.876,0.648,0.722
680,PE1,B,east,PE1BMessor_barbarus1Eye,Messor_barbarus,1,0.199,1.217,1.17,1.091
680,PE1,B,east,PE1BMessor_barbarus2Eye,Messor_barbarus,2,0.186,1.032,0.999,0.954
680,PE1,B,east,PE1BMessor_barbarus3Eye,Messor_barbarus,3,0.445,2.914,1.852,2.085
680,PE1,B,east,PE1BMessor_bouvieri1Eye,Messor_bouvieri,1,0.214,1.179,1.133,0.905
680,PE1,B,east,PE1BMessor_bouvieri2Eye,Messor_bouvieri,2,0.24,1.207,1.336,1.123
680,PE1,B,east,PE1BMessor_bouvieri3Eye,Messor_bouvieri,3,0.213,1.138,1.242,1.051
680,PE1,B,east,PE1BMessor_hispanicus1Eye,Messor_hispanicus,1,0.184,1.455,1.261,1.147
680,PE1,B,east,PE1BMessor_hispanicus2Eye,Messor_hispanicus,2,0.232,1.313,1.188,0.980
680,PE1,B,east,PE1BMessor_hispanicus3Eye,Messor_hispanicus,3,0.211,1.141,1.27,1.147
680,PE1,B,east,PE1BProformica_nasuta1Eye,Proformica_nasuta,1,0.202,0.631,0.869,0.609
680,PE1,B,east,PE1BProformica_nasuta2Eye,Proformica_nasuta,2,0.202,0.568,0.898,0.757
680,PE1,B,east,PE1BProformica_nasuta3Eye,Proformica_nasuta,3,0.216,0.669,0.938,0.810
680,PE1,B,east,PE1BSolenopsis_sp1Eye,Solenopsis_sp,1,0.056,0.509,0.34,0.378
680,PE1,B,east,PE1BSolenopsis_sp2Eye,Solenopsis_sp,2,0.037,0.406,0.276,0.340
680,PE1,B,east,PE1BSolenopsis_sp3Eye,Solenopsis_sp,3,0.041,0.41,0.243,0.331
680,PE1,B,east,PE1BTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.11,0.615,0.417,0.381
680,PE1,B,east,PE1BTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.11,0.566,0.387,0.442
680,PE1,B,east,PE1BTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.073,0.606,0.35,0.359
680,PE1,C,east,PE1CAphaenogaster_senilis1Eye,Aphaenogaster_senilis,1,0.19,1.169,1.848,1.784
680,PE1,C,east,PE1CAphaenogaster_senilis2Eye,Aphaenogaster_senilis,2,0.217,1.201,1.913,1.940
680,PE1,C,east,PE1CAphaenogaster_senilis3Eye,Aphaenogaster_senilis,3,0.197,1.179,1.859,1.730
680,PE1,C,east,PE1CCamponotus_cruentatus1Eye,Camponotus_cruentatus,1,0.484,2.727,3.472,3.048
